Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	Tc teor	Tc/Don	log T/D	[T]real		a=T/P+P-	1+aNTh	lna=lnT/D-lnR	a=exp(anterior)	1-ap/1+apth		aDR/1-aR	R:D			R/D	1/P-		R/D
6,90E+06	2,10E+05	1,10E+05	8,40E-05	3,20E+05	1,28E-04	6,79E+06	2,72E-03	7,11E+06	6,85	0,002844	-2,546070408	1,11E-03	0,523810	-0,28	4,40E-04	2,53E+00	1,27E+03	1,17642	2,28524	192,86065	0,0702		-2,10E+06	3,29E+01			32,85714286	1,47E-07		32,85714286
																														
5,60E+06	2,07E+05	2,20E+05	1,14E-04	4,92E+05	1,97E-04	5,39E+06	2,16E-03	5,88E+06	6,77	0,002354	-2,628267345	3,62E-04	0,732394	-0,14	8,32E-04	4,35E-01	1,96E+03	1,14600	2,53094	339,57454	0,2391		-2,07E+06	1,97E+01			19,71830986	1,85E-07		19,71830986
	3,61E+05	1,96E+05																												
3,09E+06	1,90E+05	1,20E+04	6,74E-05	1,81E+05	7,22E-05	3,08E+06	1,23E-03	3,26E+06	6,51	0,001303	-2,884922283	5,68E-05	0,071217	-1,15	4,80E-05	1,18		1,08085	1,76225		0,5425		-1,90E+06	1,83E+01			18,33827893			18,33827893
	147000																													
1,50E+06	5,60E+04	7,10E+03	2,24E-05	6,31E+04	2,52E-05	1,34E+06	5,35E-04	1,40E+06	6,15	0,000560	-3,251501873	5,85E-06	0,126786	-0,90	2,84E-05	0,21	2,10E+03	1,03476	2,37459	236,91179	0,7928			2,40E+01			24,01785714	7,47E-07		24,01785714
1190000																														
7,70E+05	2,99E+04	1,49E+03	1,20E-05	3,14E+04	1,26E-05	7,69E+05	3,07E-04	8,00E+05	5,90	0,000320	-3,494904312	1,64E-06	0,049833	-1,30	5,96E-06	0,28	1,54E+03	1,01985	2,20981	162,10842	0,8793			2,58E+01			25,75250836	1,30E-06		25,75250836
																														
1,50E+05	9,90E+03	2,80E+02	3,96E-06	1,02E+04	4,07E-06	1,50E+05	5,99E-05	1,60E+05	5,20	0,000064	-4,194091545	9,68E-08	0,028283	-1,55	1,12E-06	0,09		1,00397	2,67418		0,9761			1,52E+01			15,15151515	6,68E-06		15,15151515
																														
1,03E+05	4,40E+03	4,00E+01	1,71E-06	4,32E+03	1,73E-06	1,03E+05	4,12E-05	1,07E+05	5,03	0,000043	-4,367421244	2,86E-08	0,009346	-2,03	1,60E-07	0,18		1,00266	2,35589	226,92780	0,9836		-4,40E+04	2,41E+01			24,06542056	9,71E-06		24,06542056
	4160	40																												
2,10E+09	3,50E+07	1,10E+08	1,40E-01	1,64E+09	6,54E-01	1,96E+10	7,85E+00	2,13E+10	10,33	8,500000	0,929418926	-1,66E-01	3,671429	0,56	5,14E-01	-0,32	1,00E-01	528,27057	-0,32981	0,46794	-5,4351		-3,50E+08	5,97E+01			59,71428571	5,10E-11		59,71428571
2,08E+09		1,47E+08																												
4,40E+08	5,60E+06	1,84E+08	2,24E-02	1,90E+09	7,58E-01	2,56E+09	1,02E+00	4,46E+09	9,65	1,782400	0,251005173	-2,66E-02	32,857143	1,52	7,36E-01	-0,04	9,48E-01	111,56554	1,50633	32,08705	-5,3484		-5,60E+07	7,86E+01			78,57142857			78,57142857
																														
9,70E+07	2,20E+06	1,20E+07	8,80E-03	1,61E+08	6,42E-02	8,32E+08	3,33E-01	9,92E+08	9,00	0,396820	-0,401406447	-1,05E-02	6,281179	0,80	5,54E-02			25,61547	1,27612	18,88508	-5,1502			4,40E+01			43,99092971	1,20E-09		43,99092971
	2,21E+06	1,57E+07																												
9,00E+06	1,50E+05	3,20E+05	6,00E-04	4,65E+06	1,86E-03	9,12E+07	3,65E-02	9,59E+07	7,98	0,038342	-1,416325237	-7,73E-04	2,428044	0,39	1,32E-03			3,37842	1,82315	66,55093	-3,4722			6,97E+01			69,74169742	1,10E-08		69,74169742
9,90E+06	1,21E+05	3,38E+05																												
1,00E+05	1,57E+03	2,90E+02	6,28E-06	1,77E+04	7,09E-06	9,98E+05	3,99E-04	1,02E+06	6,01	0,000406	-3,391174556	1,16E-06	0,129299	-0,89	8,12E-07	1,43E+00	2,87E+02	1,02520	2,51042	323,90594	0,8442			6,37E+01			63,69426752	1,00E-06		63,69426752
		1,16E+02																												
1,70E+09	1,49E+08	5,70E+08	5,96E-01	6,32E+09	2,53E+00	1,40E+10	5,59E+00	2,03E+10	10,31	8,116000	0,909342038	-7,06E-01	3,241611	0,51	1,93E+00	-3,65E-01	1,37E-01	504,45035	-0,23650	0,58010	-5,4298		-1,49E+09	1,26E+01			12,61744966	7,16E-11		12,61744966
