Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	[Tc] teor	[T]real		Tc/Don	log T/D	a=T/P+P-	1+aNTh	1-ap/1+apth	aDR/1-aR	R/D	1/P-		R/D	D/N	Gamma
2,93E+08	7,10E+06	1,39E+07	2,84E-03	21000000,00	8,40E-03	2,79E+08	1,12E-01	3,00E+08	8,48	1,20E-01	-0,920674013	-2,84E-03	5,56E-03		1,9577	0,29	5,93E+00	1,00000	-792643999,0000		41,26760563	3,58E-09		41,26760563	2,37E-02	1744,28
																										
1,11E+08	3,90E+06	2,10E+07	1,56E-03	19900000,00	7,96E-03	9,50E+07	3,80E-02	1,15E+08	8,06	4,60E-02	-1,33761998	-1,56E-03	6,40E-03		4,1026	0,61	2,12E+01	1,00000	-269799999,0000		28,46153846	1,05E-08		28,46153846	3,39E-02	838,52
		1,10E+07																								
2,54E+07	6,90E+05	5,00E+05	2,76E-04	1190000,00	4,76E-04	2,49E+07	9,96E-03	2,61E+07	7,42	1,04E-02	-1,98146593	-2,76E-04	2,00E-04		0,7246	-0,14	4,22E+01	1,00000	-70715999,0000		36,8115942	4,02E-08		36,8115942	2,64E-02	1391,91
																										
4,51E+06	1,50E+05	2,00E+04	5,92E-05	168000,00	6,72E-05	4,49E+06	1,80E-03	4,66E+06	6,67	1,86E-03	-2,729740524	-5,92E-05	8,00E-06		0,1351	-0,87	6,63E+01	1,00000	-12751599,0000		30,47297297	2,23E-07		30,47297297	3,18E-02	959,49
	1,46E+05																									
1,50E+09	5,80E+07	2,21E+08	2,32E-02	279000000,00	1,12E-01	1,47E+09	5,88E-01	1,75E+09	9,24	6,99E-01	-0,15539858	-2,32E-02	8,84E-02		3,8103	0,58	1,35E+00	1,00000	-4171959999,0000		29,13793103	6,81E-10		29,13793103	3,72E-02	782,71
1,88E+09																										
5,40E+08	7,50E+06	1,41E+07	3,00E-03	21600000,00	8,64E-03	3,71E+08	1,49E-01	3,93E+08	8,59	1,57E-01	-0,803547458	-3,00E-03	5,64E-03		1,8800	0,27	4,39E+00	1,00000	-1054775999,0000		51,4	2,69E-09		51,4	1,37E-02	3752,20
2,31E+08																										
6,10E+07	1,12E+06	5,90E+05	4,48E-04	1710000,00	6,84E-04	6,04E+07	2,42E-02	6,21E+07	7,79	2,48E-02	-1,604708562	-4,48E-04	2,36E-04		0,5268	-0,28	1,43E+01	1,00000	-171564399,0000		54,46428571	1,66E-08		54,46428571	1,80E-02	3020,82
																										
4,10E+06	8,60E+04	2,60E+04	3,44E-05	118300,00	4,73E-05	4,17E+06	1,67E-03	4,29E+06	6,63	1,72E-03	-2,765381494	-3,44E-05	1,29E-05		0,3756	-0,43	1,64E+02	1,00000	-11850467,0000		48,89534884	2,40E-07		48,89534884	2,05E-02	2379,95
4,31E+06		3,86E+04																								
6,70E+05	2,60E+04	8,80E+02	8,56E-06	22280,00	8,91E-06	6,69E+05	2,68E-04	6,91E+05	5,84	2,77E-04	-3,558210633	-8,56E-06	3,52E-07		0,0411	-1,39	1,48E+02	1,00000	-1900299,8000		31,30841121	1,49E-06		31,30841121	3,07E-02	1018,25
	1,68E+04																									
5,80E+04	1,35E+03	1,30E+01	5,90E-07	1486,50	5,95E-07	5,80E+04	2,32E-05	5,95E+04	4,77	2,38E-05	-4,623605558	-5,90E-07	4,60E-09		0,0078	-2,11	3,34E+02	1,00000	-164686,3400		39,3220339	1,72E-05		39,3220339	2,49E-02	1582,21
	1,60E+03	1,00E+01																								
